날짜,시가,고가,저가,종가,거래량,등락률
2023-12-05,0,0,0,1185,0,0.0
2023-12-06,0,0,0,1185,0,0.0
2023-12-07,0,0,0,1185,0,0.0
2023-12-08,0,0,0,1185,0,0.0
2023-12-11,0,0,0,1185,0,0.0
2023-12-12,0,0,0,1185,0,0.0
2023-12-13,0,0,0,1185,0,0.0
2023-12-14,0,0,0,1185,0,0.0
2023-12-15,0,0,0,1185,0,0.0
2023-12-18,0,0,0,1185,0,0.0
2023-12-19,0,0,0,1185,0,0.0
2023-12-20,0,0,0,1185,0,0.0
2023-12-21,0,0,0,1185,0,0.0
2023-12-22,0,0,0,1185,0,0.0
2023-12-26,0,0,0,1185,0,0.0
2023-12-27,0,0,0,1185,0,0.0
2023-12-28,0,0,0,1185,0,0.0
2024-01-02,0,0,0,1185,0,0.0
2024-01-03,0,0,0,1185,0,0.0
2024-01-04,0,0,0,1185,0,0.0
2024-01-05,0,0,0,1185,0,0.0
2024-01-08,0,0,0,1185,0,0.0
2024-01-09,0,0,0,1185,0,0.0
2024-01-10,0,0,0,1185,0,0.0
2024-01-11,0,0,0,1185,0,0.0
2024-01-12,0,0,0,1185,0,0.0
2024-01-15,0,0,0,1185,0,0.0
2024-01-16,0,0,0,1185,0,0.0
2024-01-17,0,0,0,1185,0,0.0
2024-01-18,0,0,0,1185,0,0.0
2024-01-19,0,0,0,1185,0,0.0
2024-01-22,0,0,0,1185,0,0.0
2024-01-23,0,0,0,1185,0,0.0
2024-01-24,0,0,0,1185,0,0.0
2024-01-25,0,0,0,1185,0,0.0
2024-01-26,0,0,0,1185,0,0.0
2024-01-29,0,0,0,1185,0,0.0
2024-01-30,0,0,0,1185,0,0.0
2024-01-31,0,0,0,1185,0,0.0
2024-02-01,0,0,0,1185,0,0.0
2024-02-02,0,0,0,1185,0,0.0
2024-02-05,0,0,0,1185,0,0.0
2024-02-06,0,0,0,1185,0,0.0
2024-02-07,0,0,0,1185,0,0.0
2024-02-08,0,0,0,1185,0,0.0
2024-02-13,0,0,0,1185,0,0.0
2024-02-14,0,0,0,1185,0,0.0
2024-02-15,0,0,0,1185,0,0.0
2024-02-16,0,0,0,1185,0,0.0
2024-02-19,0,0,0,1185,0,0.0
2024-02-20,0,0,0,1185,0,0.0
2024-02-21,0,0,0,1185,0,0.0
2024-02-22,0,0,0,1185,0,0.0
2024-02-23,0,0,0,1185,0,0.0
2024-02-26,0,0,0,1185,0,0.0
2024-02-27,0,0,0,1185,0,0.0
2024-02-28,0,0,0,1185,0,0.0
2024-02-29,0,0,0,1185,0,0.0
2024-03-04,0,0,0,1185,0,0.0
2024-03-05,0,0,0,1185,0,0.0
2024-03-06,0,0,0,1185,0,0.0
2024-03-07,0,0,0,1185,0,0.0
2024-03-08,0,0,0,1185,0,0.0
2024-03-11,0,0,0,1185,0,0.0
2024-03-12,0,0,0,1185,0,0.0
2024-03-13,0,0,0,1185,0,0.0
2024-03-14,0,0,0,1185,0,0.0
2024-03-15,0,0,0,1185,0,0.0
2024-03-18,0,0,0,1185,0,0.0
2024-03-19,0,0,0,1185,0,0.0
2024-03-20,0,0,0,1185,0,0.0
2024-03-21,0,0,0,1185,0,0.0
2024-03-22,0,0,0,1185,0,0.0
2024-03-25,0,0,0,1185,0,0.0
2024-03-26,0,0,0,1185,0,0.0
2024-03-27,0,0,0,1185,0,0.0
2024-03-28,0,0,0,1185,0,0.0
2024-03-29,0,0,0,1185,0,0.0
2024-04-01,0,0,0,1185,0,0.0
2024-04-02,0,0,0,1185,0,0.0
2024-04-03,0,0,0,1185,0,0.0
2024-04-04,0,0,0,1185,0,0.0
2024-04-05,0,0,0,1185,0,0.0
2024-04-08,0,0,0,1185,0,0.0
2024-04-09,0,0,0,1185,0,0.0
2024-04-11,0,0,0,1185,0,0.0
2024-04-12,0,0,0,1185,0,0.0
2024-04-15,0,0,0,1185,0,0.0
2024-04-16,0,0,0,1185,0,0.0
2024-04-17,0,0,0,1185,0,0.0
2024-04-18,0,0,0,1185,0,0.0
2024-04-19,0,0,0,1185,0,0.0
2024-04-22,0,0,0,1185,0,0.0
2024-04-23,0,0,0,1185,0,0.0
2024-04-24,0,0,0,1185,0,0.0
2024-04-25,0,0,0,1185,0,0.0
2024-04-26,0,0,0,1185,0,0.0
2024-04-29,0,0,0,1185,0,0.0
2024-04-30,0,0,0,1185,0,0.0
2024-05-02,0,0,0,1185,0,0.0
2024-05-03,0,0,0,1185,0,0.0
2024-05-07,0,0,0,1185,0,0.0
2024-05-08,0,0,0,1185,0,0.0
2024-05-09,0,0,0,1185,0,0.0
2024-05-10,0,0,0,1185,0,0.0
2024-05-13,0,0,0,1185,0,0.0
2024-05-14,0,0,0,1185,0,0.0
2024-05-16,0,0,0,1185,0,0.0
2024-05-17,0,0,0,1185,0,0.0
2024-05-20,0,0,0,1185,0,0.0
2024-05-21,0,0,0,1185,0,0.0
2024-05-22,0,0,0,1185,0,0.0
2024-05-23,0,0,0,1185,0,0.0
2024-05-24,0,0,0,1185,0,0.0
2024-05-27,0,0,0,1185,0,0.0
2024-05-28,0,0,0,1185,0,0.0
2024-05-29,0,0,0,1185,0,0.0
2024-05-30,0,0,0,1185,0,0.0
2024-05-31,0,0,0,1185,0,0.0
2024-06-03,0,0,0,1185,0,0.0
2024-06-04,0,0,0,1185,0,0.0
2024-06-05,0,0,0,1185,0,0.0
2024-06-07,0,0,0,1185,0,0.0
2024-06-10,0,0,0,1185,0,0.0
2024-06-11,0,0,0,1185,0,0.0
2024-06-12,0,0,0,1185,0,0.0
2024-06-13,0,0,0,1185,0,0.0
2024-06-14,0,0,0,1185,0,0.0
2024-06-17,0,0,0,1185,0,0.0
2024-06-18,0,0,0,1185,0,0.0
2024-06-19,0,0,0,1185,0,0.0
2024-06-20,0,0,0,1185,0,0.0
2024-06-21,0,0,0,1185,0,0.0
2024-06-24,0,0,0,1185,0,0.0
2024-06-25,0,0,0,1185,0,0.0
2024-06-26,0,0,0,1185,0,0.0
2024-06-27,0,0,0,1185,0,0.0
2024-06-28,0,0,0,1185,0,0.0
2024-07-01,0,0,0,1185,0,0.0
2024-07-02,0,0,0,1185,0,0.0
2024-07-03,0,0,0,1185,0,0.0
2024-07-04,0,0,0,1185,0,0.0
2024-07-05,0,0,0,1185,0,0.0
2024-07-08,0,0,0,1185,0,0.0
2024-07-09,0,0,0,1185,0,0.0
2024-07-10,0,0,0,1185,0,0.0
2024-07-11,0,0,0,1185,0,0.0
2024-07-12,0,0,0,1185,0,0.0
2024-07-15,0,0,0,1185,0,0.0
2024-07-16,0,0,0,1185,0,0.0
2024-07-17,0,0,0,1185,0,0.0
2024-07-18,0,0,0,1185,0,0.0
2024-07-19,0,0,0,1185,0,0.0
2024-07-22,0,0,0,1185,0,0.0
2024-07-23,0,0,0,1185,0,0.0
2024-07-24,0,0,0,1185,0,0.0
2024-07-25,0,0,0,1185,0,0.0
2024-07-26,0,0,0,1185,0,0.0
2024-07-29,0,0,0,1185,0,0.0
2024-07-30,0,0,0,1185,0,0.0
2024-07-31,0,0,0,1185,0,0.0
2024-08-01,0,0,0,1185,0,0.0
2024-08-02,0,0,0,1185,0,0.0
2024-08-05,0,0,0,1185,0,0.0
2024-08-06,0,0,0,1185,0,0.0
2024-08-07,0,0,0,1185,0,0.0
2024-08-08,0,0,0,1185,0,0.0
2024-08-09,0,0,0,1185,0,0.0
2024-08-12,0,0,0,1185,0,0.0
2024-08-13,0,0,0,1185,0,0.0
2024-08-14,0,0,0,1185,0,0.0
2024-08-16,0,0,0,1185,0,0.0
2024-08-19,0,0,0,1185,0,0.0
2024-08-20,0,0,0,1185,0,0.0
2024-08-21,0,0,0,1185,0,0.0
2024-08-22,0,0,0,1185,0,0.0
2024-08-23,0,0,0,1185,0,0.0
2024-08-26,0,0,0,1185,0,0.0
2024-08-27,0,0,0,1185,0,0.0
2024-08-28,0,0,0,1185,0,0.0
2024-08-29,0,0,0,1185,0,0.0
2024-08-30,0,0,0,1185,0,0.0
2024-09-02,0,0,0,1185,0,0.0
2024-09-03,0,0,0,1185,0,0.0
2024-09-04,0,0,0,1185,0,0.0
2024-09-05,0,0,0,1185,0,0.0
2024-09-06,0,0,0,1185,0,0.0
2024-09-09,0,0,0,1185,0,0.0
2024-09-10,0,0,0,1185,0,0.0
2024-09-11,0,0,0,1185,0,0.0
2024-09-12,0,0,0,1185,0,0.0
2024-09-13,0,0,0,1185,0,0.0
2024-09-19,0,0,0,1185,0,0.0
2024-09-20,0,0,0,1185,0,0.0
2024-09-23,0,0,0,1185,0,0.0
2024-09-24,0,0,0,1185,0,0.0
2024-09-25,0,0,0,1185,0,0.0
2024-09-26,0,0,0,1185,0,0.0
2024-09-27,0,0,0,1185,0,0.0
2024-09-30,0,0,0,1185,0,0.0
2024-10-02,0,0,0,1185,0,0.0
2024-10-04,0,0,0,1185,0,0.0
2024-10-07,0,0,0,1185,0,0.0
2024-10-08,0,0,0,1185,0,0.0
2024-10-10,0,0,0,1185,0,0.0
2024-10-11,0,0,0,1185,0,0.0
2024-10-14,0,0,0,1185,0,0.0
2024-10-15,0,0,0,1185,0,0.0
2024-10-16,0,0,0,1185,0,0.0
2024-10-17,0,0,0,1185,0,0.0
2024-10-18,0,0,0,1185,0,0.0
2024-10-21,0,0,0,1185,0,0.0
2024-10-22,0,0,0,1185,0,0.0
2024-10-23,0,0,0,1185,0,0.0
2024-10-24,0,0,0,1185,0,0.0
2024-10-25,0,0,0,1185,0,0.0
2024-10-28,0,0,0,1185,0,0.0
2024-10-29,0,0,0,1185,0,0.0
2024-10-30,0,0,0,1185,0,0.0
2024-10-31,0,0,0,1185,0,0.0
2024-11-01,0,0,0,1185,0,0.0
2024-11-04,0,0,0,1185,0,0.0
2024-11-05,0,0,0,1185,0,0.0
2024-11-06,0,0,0,1185,0,0.0
2024-11-07,0,0,0,1185,0,0.0
2024-11-08,0,0,0,1185,0,0.0
2024-11-11,0,0,0,1185,0,0.0
2024-11-12,0,0,0,1185,0,0.0
2024-11-13,0,0,0,1185,0,0.0
2024-11-14,0,0,0,1185,0,0.0
2024-11-15,0,0,0,1185,0,0.0
2024-11-18,0,0,0,1185,0,0.0
2024-11-19,0,0,0,1185,0,0.0
2024-11-20,0,0,0,1185,0,0.0
2024-11-21,0,0,0,1185,0,0.0
2024-11-22,0,0,0,1185,0,0.0
2024-11-25,0,0,0,1185,0,0.0
